"FullName","Name","Mode","Length","LastWriteTime"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\fable-output\weekly-review-template.md","weekly-review-template.md","-a----","76","10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\pdf-download-kit\GMAIL_PDF_ATTACHMENTS.md","GMAIL_PDF_ATTACHMENTS.md","-a----","648","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\pdf-download-kit\PDF_LINKS.csv","PDF_LINKS.csv","-a----","13323","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\pdf-download-kit\PDF_LINKS.html","PDF_LINKS.html","-a----","16630","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\pdf-download-kit\PDF_LINKS.md","PDF_LINKS.md","-a----","17756","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\pdf-download-kit\REPO_LINKS.md","REPO_LINKS.md","-a----","2608","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\pdf-download-kit\SOURCE_REGISTER_PDF_ROWS.csv","SOURCE_REGISTER_PDF_ROWS.csv","-a----","7914","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\raw-inventory\embedded-credential-remotes.csv","embedded-credential-remotes.csv","-a----","3","10/06/2026 8:04:20 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\raw-inventory\git-status-raw.txt","git-status-raw.txt","-a----","1239","10/06/2026 8:04:23 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\raw-inventory\github-cli-not-installed.txt","github-cli-not-installed.txt","-a----","73","10/06/2026 8:04:23 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\raw-inventory\local-folders-raw.csv","local-folders-raw.csv","-a----","199231","10/06/2026 8:04:22 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\raw-inventory\risky-files.csv","risky-files.csv","-a----","1244","10/06/2026 8:02:31 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\raw-inventory\token-string-hits.csv","token-string-hits.csv","-a----","36555","10/06/2026 8:04:07 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\scripts\01-risky-file-scan.ps1","01-risky-file-scan.ps1","-a----","1249","10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\scripts\02-token-string-scan.ps1","02-token-string-scan.ps1","-a----","1700","10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\scripts\03-git-config-credential-scan.ps1","03-git-config-credential-scan.ps1","-a----","1803","10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\scripts\04-local-folder-inventory.ps1","04-local-folder-inventory.ps1","-a----","749","10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\scripts\05-git-status-inventory.ps1","05-git-status-inventory.ps1","-a----","1537","10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\scripts\06-github-metadata-export.ps1","06-github-metadata-export.ps1","-a----","1486","10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\seed-data\actions.jsonl","actions.jsonl","-a----","494","10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\seed-data\deployments.jsonl","deployments.jsonl","-a----","268","10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\seed-data\privacy_risks.jsonl","privacy_risks.jsonl","-a----","322","10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\seed-data\repos.jsonl","repos.jsonl","-a----","862","10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-cards\deployment-cards.md","deployment-cards.md","-a----","1007","10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-cards\doc-cards.md","doc-cards.md","-a----","1122","10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-cards\email-cards.md","email-cards.md","-a----","1097","10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-cards\local-workspace-cards.md","local-workspace-cards.md","-a----","1118","10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-cards\open-action-cards.md","open-action-cards.md","-a----","820","10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-cards\privacy-risk-cards.md","privacy-risk-cards.md","-a----","2144","10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-cards\QUALITY_GATE.md","QUALITY_GATE.md","-a----","1808","10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-cards\repo-cards.md","repo-cards.md","-a----","1859","10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\{scripts,raw-inventory,source-cards,approved-for-fable,excluded-private,architecture-draft,fable-output\scaffold,seed-data}","scaffold,seed-data}","d-----",,"10/06/2026 9:28:26 AM"
